experiment,corruption,severity,intervention_type,fraction,alpha,norm_cap,layer_id,mask_seed,U,n_images,recovery_rate,new_error_rate,corruption_failure_set_size,still_correct_set_size,margin_change,model_fingerprint
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,11,0.5000000000000004,2000,0.208955223880597,0.02043906131718395,134,1321,0.09399386298656463,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,12,-0.40000000000000036,2000,0.22388059701492538,0.03557910673732021,134,1321,0.042669617176055906,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,13,0.15000000000000568,2000,0.17164179104477612,0.02498107494322483,134,1321,0.06406950008869171,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,14,-0.14999999999999458,2000,0.19402985074626866,0.028766086298258896,134,1321,0.016862333178520202,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,15,0.20000000000000018,2000,0.22388059701492538,0.026495079485238455,134,1321,0.09319343829154968,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,16,0.45000000000000595,2000,0.1865671641791045,0.025738077214231644,134,1321,0.053979546427726746,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,17,-0.20000000000000018,2000,0.15671641791044777,0.02725208175624527,134,1321,0.020214728713035583,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,18,0.0,2000,0.1791044776119403,0.022710068130204392,134,1321,0.0499343808889389,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.2,1.0,,0,19,0.45000000000000595,2000,0.23134328358208955,0.02498107494322483,134,1321,0.10512727308273316,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,1,0,-0.20000000000000018,2000,0.029850746268656716,0.008327024981074944,134,1321,0.0062267943620681766,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,1,1,-0.20000000000000018,2000,0.03731343283582089,0.009084027252081756,134,1321,0.0016812689304351806,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,1,2,-0.10000000000000009,2000,0.014925373134328358,0.005299015897047691,134,1321,0.003344076156616211,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
E1,gaussian_noise,1,partial_channel,0.01,1.0,,1,3,0.0,2000,0.04477611940298507,0.006056018168054504,134,1321,0.0017630823850631715,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
