layer,metric_name,score,n_samples,summary_mode,label_access,corruption,severity,split,is_observed,model_fingerprint
0,relative_distance,0.8014294017902505,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,cosine_distance,0.28368670968636645,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,one_minus_cka,0.22535845346703187,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,amplification_ratio,1.0,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,knn_preservation,0.2558979227257091,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,relative_distance,0.06385481146984509,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,cosine_distance,0.002107482863900369,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,one_minus_cka,0.19266385900216876,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,amplification_ratio,1.9202821430295205,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,knn_preservation,0.19926285638166444,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,relative_distance,0.8121054383560936,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,cosine_distance,0.300586392724342,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,one_minus_cka,0.1845996769226983,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,amplification_ratio,1.0133212439448749,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,knn_preservation,0.25710340107089324,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,relative_distance,0.08785479289694424,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,cosine_distance,0.003939119021062132,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,one_minus_cka,0.24014178115330276,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,amplification_ratio,1.375852357475567,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,knn_preservation,0.1716220760233918,2000,cls,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,relative_distance,0.8624558991261617,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,cosine_distance,0.3533148267659575,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,one_minus_cka,0.16825495390509737,2000,patch_mean,none,gaussian_noise,3,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
